Track Name,Artist,Album,Popularity,Duration (minutes),URL,Album Cover
"Neethanae (From ""Mersal"")",A.R. Rahman,"Neethanae (From ""Mersal"")",58,4.47425,https://open.spotify.com/track/6VP7HEaqHVFFW0ASZUkwMn,https://i.scdn.co/image/ab67616d0000b27391f5116950c1c86120efca19
Newyork Nagaram,A.R. Rahman,Sillunu Oru Kadhal (Original Motion Picture Soundtrack),63,6.300333333333334,https://open.spotify.com/track/0cVrLxeQjiAcftuGzp32qY,https://i.scdn.co/image/ab67616d0000b273ff3e3dcc8b72e3315b7a04d9
Uyirin Uyire,Krishnakumar Kunnath,Kaakha Kaakha (Original Motion Picture Soundtrack),61,5.3571,https://open.spotify.com/track/7LuYc1yBvfvvLC1O7Ng4v4,https://i.scdn.co/image/ab67616d0000b273e73033159975344301463178
Enna Nadanthalum,Hiphop Tamizha,Meesaya Murukku (Original Motion Picture Soundtrack),64,4.0844,https://open.spotify.com/track/7yk8CT3m3KI8u6DEWc3dFk,https://i.scdn.co/image/ab67616d0000b273542a1fce78b3c44b1b3e8f0b
Tere Bina,A.R. Rahman,Guru (Original Motion Picture Soundtrack),80,5.160666666666667,https://open.spotify.com/track/4FeczSomVWVyU4FW7xDeAI,https://i.scdn.co/image/ab67616d0000b2730504fdf58bae8cd52dd13047
Kadhalikathey,Hiphop Tamizha,Imaikkaa Nodigal (Original Motion Picture Soundtrack),53,3.36705,https://open.spotify.com/track/2ll0Hczs61IOC6Jj7igd4T,https://i.scdn.co/image/ab67616d0000b273ca041663617f8a76265824d5
Pouraadalaam,Armaan Malik,M.S.Dhoni - The Untold Story,41,4.274583333333333,https://open.spotify.com/track/34jOQQkZnyo4v5k0T8PD67,https://i.scdn.co/image/ab67616d0000b273d408a5daef71d047c4928380
"Monica (From ""Coolie"") (Tamil)",Anirudh Ravichander,"Monica (From ""Coolie"") (Tamil)",78,3.6271166666666668,https://open.spotify.com/track/2t1pEpxPz91KldW7C0FyZv,https://i.scdn.co/image/ab67616d0000b27325fa8e214ad888b7d291f25e
"Powerhouse (From ""Coolie"") (Tamil)",Anirudh Ravichander,"Powerhouse (From ""Coolie"") (Tamil)",75,3.443783333333333,https://open.spotify.com/track/4ipcv9eHC6w5xKXxX0Z1Zu,https://i.scdn.co/image/ab67616d0000b273fb6b64d74a39c88ffb8737d9
"Vazhithunaiye - From ""Dragon""",Leon James,"Vazhithunaiye (From ""Dragon"")",67,3.6380833333333333,https://open.spotify.com/track/3bTnREOf1CyY4Gz5jfHUiI,https://i.scdn.co/image/ab67616d0000b2737eb5b147dc197bca096c437c
"Agar Tum Saath Ho (From ""Tamasha"")",A.R. Rahman,A.R. Rahman All Time Favourites,51,5.684233333333333,https://open.spotify.com/track/7aYW9bfmULF9q2hwe2HtpU,https://i.scdn.co/image/ab67616d0000b2731bea41b64855e2efd68d5fcb
"Raanjhanaa (From ""Raanjhanaa"")",A.R. Rahman,Raanjhanaa (Original Motion Picture Soundtrack),74,4.2442166666666665,https://open.spotify.com/track/5OMUXgfXsSukZ0zxelpC3b,https://i.scdn.co/image/ab67616d0000b273a00249b8bf77312ec156dd4b
"Chuttamalle (From ""Devara Part 1"")",Shilpa Rao,"Chuttamalle (From ""Devara Part 1"")",74,3.70105,https://open.spotify.com/track/1bxzr3JK05fMTcweGAZUHp,https://i.scdn.co/image/ab67616d0000b2736d97b3dc154dfdbe2321fb5c
Illuminati,Sushin Shyam,Aavesham (Original Motion Picture Soundtrack),62,3.5420833333333333,https://open.spotify.com/track/1a1xLj9W8libnO9PvJf6ao,https://i.scdn.co/image/ab67616d0000b2731d93bb16bf3025587d001f45
Onam Mood,Bibin Ashok,Sahasam,47,3.08,https://open.spotify.com/track/24y75YaEdGY1EAip02ORzk,https://i.scdn.co/image/ab67616d0000b273c3a96c6043454b2478654b7d
Chaleya,Anirudh Ravichander,Jawan,68,3.33955,https://open.spotify.com/track/3xMHXmedL5Rvfxmiar9Ryv,https://i.scdn.co/image/ab67616d0000b273e452a6e11147f3e56aee6f5b
Pillaa Raa,Anurag Kulkarni,RX 100,66,3.92165,https://open.spotify.com/track/6Vq4ePrJPZ2vU6DXnZGcVD,https://i.scdn.co/image/ab67616d0000b2738fda58224d898d6ae6593734
Yemito,Haricharan,Andala Rakshasi (Original Motion Picture Soundtrack),62,4.480433333333333,https://open.spotify.com/track/1eknwgCfzOXC0VRTst91l7,https://i.scdn.co/image/ab67616d0000b27369ed5ff7a28baba8ab5aea12
Priyathama Priyathama,Chinmayi,Kotha Kothagaa,49,4.098083333333333,https://open.spotify.com/track/1flfRpvHEitNI3V7Y6G4XR,https://i.scdn.co/image/ab67616d0000b2733f763a1fedec0a049ca583f0
"Nenjukkul Peidhidum (From ""Vaaranam Aayiram"")",Harris Jayaraj,Harris Jayaraj Melodies,23,6.15555,https://open.spotify.com/track/5ZmD4Qv3lddB8d4lJa4ADC,https://i.scdn.co/image/ab67616d0000b2731277194b0ad3a63793c0bd04
"Kannamma - From ""Ispade Rajavum Idhaya Raniyum""",Sam C.S.,"Kannamma (From ""Ispade Rajavum Idhaya Raniyum"")",67,4.282416666666666,https://open.spotify.com/track/4KUQFOGTaHrggl3hfMoaAe,https://i.scdn.co/image/ab67616d0000b27378a66d1b99fce4ec68669654
Malai Mangum Neram,Ranina Reddy,Rowthiram (Orignal Motion Picture Soundtrack),64,5.226666666666667,https://open.spotify.com/track/2VrNpMt23IX5ZfROWM7wAi,https://i.scdn.co/image/ab67616d0000b273f54b6ead04e999383fbb597c
Mazhai Vara Pogudhae,Harris Jayaraj,Yennai Arindhaal (Original Motion Picture Soundtrack),59,5.709116666666667,https://open.spotify.com/track/5ich0wSxDxMryEjwZo6XzG,https://i.scdn.co/image/ab67616d0000b273673ce5ba3c125470e36ecff9
Golden,HUNTR/X,KPop Demon Hunters (Soundtrack from the Netflix Film),100,3.24345,https://open.spotify.com/track/1CPZ5BxNNd0n0nF4Orb9JS,https://i.scdn.co/image/ab67616d0000b2734dcb6c5df15cf74596ab25a4
APT.,ROSÉ,APT.,88,2.83195,https://open.spotify.com/track/5vNRhkKd0yEAg8suGBpjeY,https://i.scdn.co/image/ab67616d0000b27336032cb4acd9df050bc2e197
Sugar Rush Ride,TOMORROW X TOGETHER,The Name Chapter: TEMPTATION,67,3.1095,https://open.spotify.com/track/0rhI6gvOeCKA502RdJAbfs,https://i.scdn.co/image/ab67616d0000b2733bb056e3160b85ee86c1194d
FEARLESS,LE SSERAFIM,FEARLESS,69,2.8072833333333334,https://open.spotify.com/track/296nXCOv97WJNRWzIBQnoj,https://i.scdn.co/image/ab67616d0000b273ea40d88f11d5e4362ac809ce
LOVE DIVE,IVE,LOVE DIVE,71,2.9531,https://open.spotify.com/track/0Q5VnK2DYzRyfqQRJuUtvi,https://i.scdn.co/image/ab67616d0000b2739016f58cc49e6473e1207093
FLOWER,JISOO,ME,70,2.8855666666666666,https://open.spotify.com/track/69CrOS7vEHIrhC2ILyEi0s,https://i.scdn.co/image/ab67616d0000b273f35b8a6c03cc633f734bd8ac
Super Shy,NewJeans,NewJeans 'Super Shy',79,2.5777666666666668,https://open.spotify.com/track/5sdQOyqq2IDhvmx2lHOpwd,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af
Standing Next to You,Jung Kook,GOLDEN,82,3.43365,https://open.spotify.com/track/2KslE17cAJNHTsI2MI0jb2,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316
Boy With Luv (feat. Halsey),BTS,MAP OF THE SOUL : PERSONA,76,3.82955,https://open.spotify.com/track/4a9tbd947vo9K8Vti9JwcI,https://i.scdn.co/image/ab67616d0000b27318d0ed4f969b376893f9a38f
UNTOUCHABLE,ITZY,BORN TO BE,60,3.2348833333333333,https://open.spotify.com/track/2HQALWSN6IF4BYrSADMJ0w,https://i.scdn.co/image/ab67616d0000b273470d0ba5f707b141d1337cf2
Shhh,KISS OF LIFE,KISS OF LIFE,60,3.037333333333333,https://open.spotify.com/track/76qqDJijAjFph7sjUxNVG8,https://i.scdn.co/image/ab67616d0000b2732ff7c76b0790cd3ad63cfc0c
Bubble,STAYC,TEENFRESH,54,2.9879166666666666,https://open.spotify.com/track/4P5ozkI1bxiGxA5rZ27jlO,https://i.scdn.co/image/ab67616d0000b27305f3e920cfd3ae7fe9192149
DASH,NMIXX,Fe3O4: BREAK,62,2.782983333333333,https://open.spotify.com/track/2RoYgkPzUY0vY7lhUuyus1,https://i.scdn.co/image/ab67616d0000b27381d97a31253b898bc4149195
Drama,aespa,Drama - The 4th Mini Album,76,3.582883333333333,https://open.spotify.com/track/5XWlyfo0kZ8LF7VSyfS4Ew,https://i.scdn.co/image/ab67616d0000b273c54e39f2ae0dd10731f93c08
Deja Vu,TOMORROW X TOGETHER,minisode 3: TOMORROW,70,2.8571166666666667,https://open.spotify.com/track/3aAnwyBJY9OLNLqSgd4fZU,https://i.scdn.co/image/ab67616d0000b27303c996028737858321d2ffe0
SHEESH,BABYMONSTER,BABYMONS7ER,76,2.8392666666666666,https://open.spotify.com/track/1njlnn8ZKHI77Pe9szIONR,https://i.scdn.co/image/ab67616d0000b2734f6afc385052250c766a5683
Super,SEVENTEEN,SEVENTEEN 10th Mini Album 'FML',66,3.3397666666666668,https://open.spotify.com/track/3AOf6YEpxQ894FmrwI9k96,https://i.scdn.co/image/ab67616d0000b27380e31ba0c05187e6310ef264
Bite Me,ENHYPEN,DARK BLOOD,79,2.6255166666666665,https://open.spotify.com/track/7mpdNiaQvygj2rHoxkzMfa,https://i.scdn.co/image/ab67616d0000b2731d03b5e88cee6870778a4d27
I AM,IVE,I've IVE,75,3.064216666666667,https://open.spotify.com/track/70t7Q6AYG6ZgTYmJWcnkUM,https://i.scdn.co/image/ab67616d0000b27325ef3cec1eceefd4db2f91c8
"Ada All Thotta Boopathi (From ""Youth"")",Mani Sharma,Youth (Original Motion Picture Soundtrack),63,4.920216666666667,https://open.spotify.com/track/3MDHNu7aYm21tu1slmkrdk,https://i.scdn.co/image/ab67616d0000b273713c0429e94ed2ac579893a3
Yaanji,Anirudh Ravichander,Vikram Vedha (Original Motion Picture Soundtrack),58,4.50625,https://open.spotify.com/track/5NEGfbKMcNuEWOzpWufScA,https://i.scdn.co/image/ab67616d0000b2739cd6fde9d6ce596ebf44ee0f
Buttabomma - Telugu,Armaan Malik,Ala Vaikunthapurramuloo,61,3.3130333333333333,https://open.spotify.com/track/0dnDTvdUco2UbaBjUtPxNS,https://i.scdn.co/image/ab67616d0000b27363118748c712b6ac32c0feec
YAD,Vanna Rainelle,YAD,72,3.0132166666666667,https://open.spotify.com/track/0qWFmXLCsisEfVJzVyShfk,https://i.scdn.co/image/ab67616d0000b273b1a8eaa17b431b3632d674f4
PTT (Paint The Town),LOONA,[&],51,3.352,https://open.spotify.com/track/5awNIWVrh2ISfvPd5IUZNh,https://i.scdn.co/image/ab67616d0000b273608cf05fbd3605c77444917f
Kill This Love,BLACKPINK,Kill This Love,71,3.1508666666666665,https://open.spotify.com/track/5GK7eDDTVz7CTge1wJrDQW,https://i.scdn.co/image/ab67616d0000b2732d602ab2d4acff0c2cf57683
Beautiful Life,Now United,Beautiful Life,47,3.8336,https://open.spotify.com/track/4W30gjiECjnGzLNj2umGoq,https://i.scdn.co/image/ab67616d0000b27371982a2599d4349a8f5522bb
En Jannal Vandha,Yuvan Shankar Raja,Theeratha Vilayaatu Pillai (Original Motion Picture Soundtrack),55,4.724666666666667,https://open.spotify.com/track/04fYoQSUTfPhVjyW8aXkix,https://i.scdn.co/image/ab67616d0000b27308d1f43c3bc493595f1c3726
